id,title,description,modified_date,start_year,end_year,rating,type,character_id,comics_id
28381,The Marvels (2021 - Present),"ALL-NEW, ONGOING SERIES! Kurt Busiek (MARVELS, Astro City) is back, with the biggest, wildest, most sprawling series ever to hit the Marvel Universe, telling stories that span the decades and range from cosmic adventure to intense human drama, from the street-level to the cosmic, starring literally anyone from Marvel’s very first heroes to the superstars of tomorrow. This first issue includes an invasion from orbit, a picnic in Prospect Park, super hero sightseeing in Manhattan, the All-Winners Squad in 1947, Reed Richards during his time in military intelligence, cosmic beings beyond space and time— and that’s only for starters. Featuring Captain America, Spider-Man, the Punisher, the Human Torch, Storm, the Black Cat, the Golden Age Vision, Aero, Iron Man and Thor, and introducing two brand-new characters, all beautifully drawn by Yildiray Cinar (X-MEN, Legion of Super-Heroes, IRON MAN) in the opening act of a thriller that’ll take us across the Marvel Universe - and beyond. Plus: Who (or what) is KSHOOM? It all starts here. And it goes - everywhere.",2021-04-21T14:08:00-0400,2021,2099,,,1017851,80576
3621,Avengers (1996 - 1997),,2013-03-01T13:18:21-0500,1996,1997,,ongoing,1012717,17751
3971,Avengers Fairy Tales (2008),,2011-05-25T11:45:42-0400,2008,2008,ALL AGES,,1012717,20870
24503,Captain America (2018 - Present),,2020-03-10T16:01:24-0400,2018,2099,,,1012717,98662
26673,Captain Marvel (2019 - Present),"Get ready to go futher, faster and farther with Captain Marvel! Learn all you need to know about former-pilot-turned-super-hero Carol Danvers and what are the essential comic stories of Captain Marvel! If you want the best of the best, start here!",2021-01-25T11:08:03-0500,2019,2099,,,1012717,73999
2121,Fantastic Four (1961 - 1998),"Witness the comic masterpiece that gave birth to the Marvel Age! Mister Fantastic, The Thing, The Human Torch and The Invisible Girl unite to uncover the universe's greatest mysteries and face down would be world-conquerors like Doctor Doom, the Skrulls, Galactus and countless others!",2018-12-13T09:37:19-0500,1961,1998,,,1009148,12894
1693,Marvel Masterworks: The Fantastic Four Vol.10 (2006),,-0001-11-30T00:00:00-0500,2006,2006,ALL AGES,collection,1012717,4203
20854,Scarlet Witch (2015 - 2017),,2020-09-06T22:26:50-0400,2015,2017,Rated T+,ongoing,1012717,57094
20338,Scarlet Witch (1994),,2016-09-08T10:07:57-0400,1994,1994,,limited,1012717,54974
702,Ultimate Fantastic Four (2003 - 2009),"The Ultimate line takes classic Marvel characters and ideas and infuses them with new concepts and in radically fresh ways, without the ties to continuity.<br>
Utlimate Fantastic Four focuses on the young geniuses of the FF as they come to grips with a wild world. Great reading for everyone from the newbie science geek to the veteran Marvel zombie.",2013-03-01T15:27:11-0500,2003,2009,A,,1012717,95
3655,Vision and the Scarlet Witch (1985 - 1986),,2019-08-19T16:18:17-0400,1985,1986,,,1012717,18455
744,Astonishing X-Men (2004 - 2013),"Marvel's mighty mutants go worldwide and beyond in this series following Cyclops, Wolverine, Beast, Emma Frost and more in their astonishing adventures!",2015-08-27T12:54:49-0400,2004,2013,T,ongoing,1011297,660
16907,Cable and X-Force (2012 - 2014),,2019-09-10T10:16:06-0400,2012,2014,,,1011297,44761
13065,Heralds (2010),,2019-09-23T21:47:42-0400,2010,2010,,collection,1011297,36732
